iter	Passed	Remaining
0	31	15497
1	61	15287
2	88	14713
3	113	14069
4	139	13815
5	168	13849
6	188	13258
7	214	13171
8	238	13035
9	262	12878
10	285	12707
11	313	12757
12	341	12787
13	370	12846
14	397	12866
15	417	12622
16	439	12495
17	465	12473
18	487	12342
19	516	12395
20	544	12412
21	571	12408
22	601	12471
23	623	12362
24	652	12400
25	681	12419
26	709	12430
27	730	12315
28	752	12227
29	770	12067
30	798	12087
31	821	12018
32	849	12016
33	877	12024
34	897	11923
35	926	11945
36	955	11951
37	980	11921
38	1006	11901
39	1031	11861
40	1051	11773
41	1076	11737
42	1098	11678
43	1126	11674
44	1150	11635
45	1171	11565
46	1193	11507
47	1215	11449
48	1241	11423
49	1265	11386
50	1289	11353
51	1312	11311
52	1341	11317
53	1367	11295
54	1394	11285
55	1418	11247
56	1442	11207
57	1466	11172
58	1493	11164
59	1521	11155
60	1548	11141
61	1573	11115
62	1603	11120
63	1629	11099
64	1648	11034
65	1669	10981
66	1694	10950
67	1715	10896
68	1732	10819
69	1753	10768
70	1775	10727
71	1796	10680
72	1824	10670
73	1849	10648
74	1870	10599
75	1891	10552
76	1912	10506
77	1934	10468
78	1954	10417
79	1977	10382
80	2001	10351
81	2022	10310
82	2048	10294
83	2069	10248
84	2091	10210
85	2111	10164
86	2132	10124
87	2159	10110
88	2184	10086
89	2210	10070
90	2232	10033
91	2245	9958
92	2267	9924
93	2283	9861
94	2303	9819
95	2324	9784
96	2343	9737
97	2364	9700
98	2386	9666
99	2409	9639
100	2434	9616
101	2457	9589
102	2476	9544
103	2498	9515
104	2525	9500
105	2549	9478
106	2577	9465
107	2597	9427
108	2622	9406
109	2644	9374
110	2666	9345
111	2692	9327
112	2713	9294
113	2735	9261
114	2759	9237
115	2781	9207
116	2804	9181
117	2830	9162
118	2857	9148
119	2886	9139
120	2906	9103
121	2928	9073
122	2954	9055
123	2975	9021
124	2991	8975
125	3016	8952
126	3036	8917
127	3057	8885
128	3081	8862
129	3107	8844
130	3136	8834
131	3157	8802
132	3181	8780
133	3204	8753
134	3226	8723
135	3250	8700
136	3275	8677
137	3298	8651
138	3325	8637
139	3348	8610
140	3371	8583
141	3396	8562
142	3411	8516
143	3437	8497
144	3461	8474
145	3485	8451
146	3504	8415
147	3529	8395
148	3551	8366
149	3577	8347
150	3607	8337
151	3631	8313
152	3651	8282
153	3675	8258
154	3693	8222
155	3723	8210
156	3751	8195
157	3778	8178
158	3807	8166
159	3831	8142
160	3859	8125
161	3880	8096
162	3907	8077
163	3929	8050
164	3958	8037
165	3994	8037
166	4047	8071
167	4079	8062
168	4111	8053
169	4142	8040
170	4169	8021
171	4197	8004
172	4219	7975
173	4245	7954
174	4273	7935
175	4295	7906
176	4320	7884
177	4344	7858
178	4368	7834
179	4393	7809
180	4413	7779
181	4429	7739
182	4455	7717
183	4476	7688
184	4504	7669
185	4529	7646
186	4557	7627
187	4583	7607
188	4606	7579
189	4631	7557
190	4652	7527
191	4674	7499
192	4699	7475
193	4715	7437
194	4737	7409
195	4756	7377
196	4785	7360
197	4826	7361
198	4870	7367
199	4908	7363
200	4933	7339
201	4958	7314
202	4988	7298
203	5012	7273
204	5036	7248
205	5064	7227
206	5089	7203
207	5116	7182
208	5139	7156
209	5163	7130
210	5186	7103
211	5211	7079
212	5234	7052
213	5254	7022
214	5281	7001
215	5296	6964
216	5318	6936
217	5339	6907
218	5368	6887
219	5391	6862
220	5412	6832
221	5433	6804
222	5456	6777
223	5483	6756
224	5506	6729
225	5532	6707
226	5561	6688
227	5583	6661
228	5612	6641
229	5635	6615
230	5659	6590
231	5681	6563
232	5707	6540
233	5734	6518
234	5760	6495
235	5783	6469
236	5806	6443
237	5829	6417
238	5861	6401
239	5886	6377
240	5914	6356
241	5939	6332
242	5966	6310
243	5988	6282
244	6014	6260
245	6032	6229
246	6054	6201
247	6081	6179
248	6104	6153
249	6129	6129
250	6153	6104
251	6175	6077
252	6200	6053
253	6224	6028
254	6245	6000
255	6272	5978
256	6297	5954
257	6324	5932
258	6351	5910
259	6378	5887
260	6405	5865
261	6430	5841
262	6455	5817
263	6478	5791
264	6504	5767
265	6529	5744
266	6557	5722
267	6580	5696
268	6606	5672
269	6630	5647
270	6655	5623
271	6684	5602
272	6709	5579
273	6735	5555
274	6760	5531
275	6791	5512
276	6816	5487
277	6840	5462
278	6861	5435
279	6884	5409
280	6907	5383
281	6933	5359
282	6955	5333
283	6974	5304
284	6996	5278
285	7017	5250
286	7044	5228
287	7066	5201
288	7084	5172
289	7108	5147
290	7134	5124
291	7157	5098
292	7179	5072
293	7206	5049
294	7232	5026
295	7252	4998
296	7273	4971
297	7295	4945
298	7320	4921
299	7348	4898
300	7375	4875
301	7399	4851
302	7417	4822
303	7442	4798
304	7465	4772
305	7492	4749
306	7519	4727
307	7537	4698
308	7562	4674
309	7587	4650
310	7615	4628
311	7638	4602
312	7656	4574
313	7680	4549
314	7702	4523
315	7723	4497
316	7746	4472
317	7773	4448
318	7797	4424
319	7824	4401
320	7848	4376
321	7875	4353
322	7902	4330
323	7925	4305
324	7951	4281
325	7973	4256
326	7999	4232
327	8022	4207
328	8046	4182
329	8071	4158
330	8099	4135
331	8121	4109
332	8142	4083
333	8169	4060
334	8197	4037
335	8224	4014
336	8250	3990
337	8276	3967
338	8301	3942
339	8330	3920
340	8354	3895
341	8377	3870
342	8404	3846
343	8425	3820
344	8450	3796
345	8475	3772
346	8495	3745
347	8523	3722
348	8549	3699
349	8573	3674
350	8594	3648
351	8623	3625
352	8648	3601
353	8671	3576
354	8698	3552
355	8725	3529
356	8748	3504
357	8777	3481
358	8804	3457
359	8820	3430
360	8846	3406
361	8871	3381
362	8891	3355
363	8915	3330
364	8940	3306
365	8963	3281
366	8990	3257
367	9018	3234
368	9043	3210
369	9066	3185
370	9091	3161
371	9116	3137
372	9140	3112
373	9165	3087
374	9187	3062
375	9209	3037
376	9236	3013
377	9256	2987
378	9284	2964
379	9307	2939
380	9330	2914
381	9355	2889
382	9381	2865
383	9405	2841
384	9427	2816
385	9450	2791
386	9477	2767
387	9500	2742
388	9528	2718
389	9552	2694
390	9576	2669
391	9598	2644
392	9623	2620
393	9650	2596
394	9673	2571
395	9694	2546
396	9716	2520
397	9740	2496
398	9767	2472
399	9796	2449
400	9821	2424
401	9848	2400
402	9864	2374
403	9889	2349
404	9915	2325
405	9939	2301
406	9964	2276
407	9985	2251
408	10010	2227
409	10038	2203
410	10064	2179
411	10090	2155
